referee,ref_count,avg_home_points,avg_away_points
Anthony Taylor,27,1.44,1.22
Paul Tierney,25,1.28,1.52
Simon Hooper,25,1.76,1.04
Michael Oliver,24,1.42,1.42
Andy Madley,23,1.48,1.35
Robert Jones,22,2.14,0.64
John Brooks,22,1.45,1.32
Jarred Gillett,21,1.38,1.52
Tim Robinson,21,1.76,1.05
Chris Kavanagh,20,1.40,1.40
Craig Pawson,19,1.47,1.32
Stuart Attwell,17,1.65,1.29
David Coote,16,1.81,1.06
Samuel Barrott,15,1.80,1.00
Michael Salisbury,14,1.57,1.14
Darren England,12,2.08,0.58
Thomas Bramall,11,2.00,0.64
Peter Bankes,10,1.50,1.20
Tony Harrington,10,1.30,1.30
Graham Scott,6,2.17,0.67
Darren Bond,5,2.00,0.80
Joshua Smith,4,2.50,0.25
Samuel Allison,3,1.00,2.00
Lewis Smith,2,1.50,1.50
Rebecca Welch,2,0.50,2.00
Matt Donohue,2,0.00,3.00
Sunny Singh,1,1.00,1.00
Robert Madley,1,1.00,1.00